# Category, Subcategory, ROI, Name, lat, lon_e, size_km, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), UVS, JANUS HR, JANUS COLOR, JANUS STEREO, MAJIS, SWI, RIME, GALA, PEP/RPWI, J-MAG
# 1, 0, #0036fc, Polar Deposits, ---, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterize the local environment and its interaction with the Jovian magnetosphere-comparison with Ganymede (CA/GC),,,,,,,,,,
# 6, 3, #e4b015, Network of Bands, ---, ---, ---, ---, ---, ---, ---, ---, ---,,,,,,,,,,
# 7, 0, #a55702, Ancient Dark Terrain, ---, ---, ---, ---, ---, ---, ---, Ancient terrain; erosional surface features in the ancient dark terrain. degraded impact craters, Characterise the outer shells / Determine the composition of the non-ice material composition of dark material (CA/CB),,,,,,,,,,
7, 0, 1, None, 25.7, 167, 9, 13, 27, 158, 176, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the anti-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states. Additional features: small fresh impact crater, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the anti-Jovian hemisphere; study mass wasting; study fresh impact material, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 2, None, 17.2, 16.3, 40, 13, 22, 13, 22, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the sub-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact crater, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the sub-Jovian hemisphere; study mass wasting; studyfresh impactmaterial, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 3, None, 17.7, 217.91, 11, 12, 19.5, 216, 224, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the leading hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the leading hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 4, None, 13, 243, 150, 5, 19, 237, 250, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the leading hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the leading hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 5, None, -4.5, 353.1, 400, -12, -2, 350, 360, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the sub-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the sub-Jovian hemisphere, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 6, None, 14.1, 9.4, 5, 12, 22, 4, 15, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the sub-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the sub-Jovian hemisphere, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
7, 0, 7, None, 25.9, 59.2, 600, 16, 33, 53, 71, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the trailing hemisphere; numerous small impact craters of different morphologies and degradation states; contains relatively smooth areas embaying and/or obliterating craters. Additionalfeatures: smallfresh impact craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the trailing hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
7, 0, 8, None, -6.0, 263.4, 900, -18.5, 9, 247, 275.5, Portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the leading hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact craters; possible palimpsests, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the leading hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
7, 0, 9, None, 32, 98, 750, 25, 42, 90, 111, Portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the trailing hemisphere; numerous small impact craters of different morphologies and degradation states; contains relatively smooth areas embaying and/or obliterating craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the trailing hemisphere, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
